62	6248	1	1
6369	0	1	1
14202	0	1	1
0	32199	1	1
35336	36998	1	1
42487	44586	1	1
0	55497	1	1
0	60048	1	1
63672	0	1	1
66555	67418	1	1
67491	68165	1	1
98198	0	1	1
0	102916	1	1
105425	0	1	1
107705	110590	1	1
112014	112795	1	1
113496	0	1	1
0	115266	1	1
125937	127905	1	1
151848	0	1	1
0	153333	1	1
183562	184082	1	1
189738	0	1	1
0	191309	1	1
0	201644	1	1
249400	250739	1	1
272523	273336	1	1
278945	279303	1	1
287615	288006	1	1
288113	0	1	1
0	293407	1	1
293450	0	1	1
0	302117	1	1
321288	321613	1	1
330540	0	1	1
341827	342965	1	1
344424	345233	1	1
345300	346611	1	1
346660	0	1	1
0	348933	1	1
0	356665	1	1
365980	367224	1	1
367380	369287	1	1
369532	0	1	1
0	372032	1	1
0	376675	1	1
386555	0	1	1
391660	392052	1	1
399675	404467	1	1
411274	412884	1	1
417972	419484	1	1
421110	428177	1	1
432830	0	1	1
0	433907	1	1
436997	438222	1	1
0	442709	1	1
443409	0	1	1
0	460204	1	1
461038	463862	1	1
464393	465298	1	1
465646	0	1	1
0	470212	1	1
496036	0	1	1
0	500825	1	1
505079	506745	1	1
506781	507614	1	1
0	511382	1	1
0	518508	1	1
518650	520110	1	1
523745	529109	1	1
533129	533585	1	1
534079	0	1	1
535811	0	1	1
0	539750	1	1
539885	540465	1	1
0	542061	1	1
0	613056	1	1
634428	637720	1	1
683158	685287	1	1
685340	686603	1	1
690206	691884	1	1
695135	699129	1	1
702486	702952	1	1
704985	705611	1	1
708091	0	1	1
0	710191	1	1
724142	725955	1	1
726266	727890	1	1
743311	743935	1	1
749349	750820	1	1
0	784191	1	1
794964	796503	1	1
823391	0	1	1
0	826574	1	1
855340	857131	1	1
918512	920563	1	1
944378	945950	1	1
0	953012	1	1
969458	970486	1	1
979596	980120	1	1
1022198	1023940	1	1
1036808	1038285	1	1
1050097	1053853	1	1
1079681	1080845	1	1
1082545	1085012	1	1
1085995	1088732	1	1
1091169	1092570	1	1
1093181	1095939	1	1
1105256	1106052	1	1
0	1114343	1	1
1125768	1127785	1	1
0	1130182	1	1
1130451	0	1	1
0	1133836	1	1
1139431	1140580	1	1
0	1171467	1	1
1175028	0	1	1
1184544	1185971	1	1
0	1191129	1	1
0	1204145	1	1
1205140	1207154	1	1
0	1218587	1	1
1221977	0	1	1
0	1224103	1	1
1236288	1237326	1	1
0	1258527	1	1
1277079	1280186	1	1
0	1299834	1	1
1299944	1301252	1	1
1316605	1317903	1	1
1355871	0	1	1
0	1359240	1	1
1360967	0	1	1
0	1364493	1	1
1369908	1370393	1	1
1447933	1449128	1	1
1711454	0	1	1
0	1713095	1	1
1735008	1735422	1	1
0	1814333	1	1
1869036	1869343	1	1
1973826	1975299	1	1
1976368	0	1	1
0	1979164	1	1
1980018	1981580	1	1
1984399	1985667	1	1
2014851	0	1	1
0	2018875	1	1
2023336	2024326	1	1
2024419	2025067	1	1
2038955	0	1	1
0	2039927	1	1
2053771	2055166	1	1
0	2060605	1	1
2067620	2070036	1	1
2153939	2157440	1	1
2157600	2159315	1	1
2160006	2160730	1	1
0	2167213	1	1
2181193	0	1	1
0	2184974	1	1
2215542	2216273	1	1
2224367	2225900	1	1
2249922	0	1	1
0	2253021	1	1
2255024	2256156	1	1
2312199	2313581	1	1
2369777	0	1	1
0	2370895	1	1
2372301	0	1	1
2373941	2374490	1	1
0	2375474	1	1
2377115	2378460	1	1
2379269	2380401	1	1
2380509	2381226	1	1
2417269	2418231	1	1
2428614	0	1	1
2429425	2431276	1	1
2431394	0	1	1
0	2431878	1	1
2453995	2454923	1	1
0	2475414	1	1
2477513	2477887	1	1
2480162	2481473	1	1
2488258	2489904	1	1
2565007	2565391	1	1
2566291	2567497	1	1
2577910	0	1	1
2579456	0	1	1
0	2581800	1	1
2621979	2622521	1	1
0	2627141	1	1
